trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
94,False,"{'a': 0.5, 'e': 0.14971010504758586}",30,0,35.38576450470509,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
95,False,"{'a': 0.5, 'e': 0.14671590294663414}",25,9,-23.34978556327447,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
96,False,"{'a': 0.5, 'e': 0.14378158488770146}",30,4,25.515105879364132,"{0: 24, 1: 1, 2: 1, 3: 0, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.14090595318994742}",25,11,-40.34032853059364,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
98,False,"{'a': 0.5, 'e': 0.13808783412614847}",20,14,-29.258923598038102,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
99,False,"{'a': 0.5, 'e': 0.13532607744362551}",20,14,11.206838205731405,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.132619555894753}",20,14,10.97072687861845,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.5, 'e': 0.12996716477685794}",30,17,3.612024815907661,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
102,False,"{'a': 0.5, 'e': 0.12736782148132078}",25,6,-11.917991458711587,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
103,False,"{'a': 0.5, 'e': 0.12482046505169436}",20,9,-12.025806335061695,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.12232405575066048}",25,6,26.401467344151417,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.11987757463564727}",35,25,12.672137065115379,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.11748002314293432}",25,14,22.25382092907145,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.5, 'e': 0.11513042268007563}",25,20,8.618908326659152,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.5, 'e': 0.11282781422647412}",30,7,44.74220540974654,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.11057125794194463}",25,17,14.51215716522299,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.10835983278310574}",25,8,27.131856726314677,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.5, 'e': 0.10619263612744362}",20,9,25.792658176102233,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.10406878340489474}",20,7,25.722477578672713,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.10198740773679685}",20,10,15.947046884507806,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.5, 'e': 0.09994765958206091}",20,13,0.03837815223993468,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
115,False,"{'a': 0.5, 'e': 0.0979487063904197}",25,0,25.472875492776712,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
116,False,"{'a': 0.5, 'e': 0.0959897322626113}",20,16,6.554789396763031,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.5, 'e': 0.09406993761735907}",25,3,34.595805260416626,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.5, 'e': 0.0921885388650119}",25,17,2.244623744258651,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
119,False,"{'a': 0.5, 'e': 0.09034476808771166}",20,2,-16.994609125838608,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
120,False,"{'a': 0.5, 'e': 0.08853787272595742}",20,8,-2.571234044147859,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
121,False,"{'a': 0.5, 'e': 0.08676711527143827}",20,5,4.524872414055035,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.0850317729660095}",25,15,8.950565574535847,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
123,False,"{'a': 0.5, 'e': 0.08333113750668932}",25,13,14.113398033637415,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
124,False,"{'a': 0.5, 'e': 0.08166451475655553}",30,4,22.795217455830365,"{0: 25, 1: 0, 2: 0, 3: 1, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.08003122446142442}",30,19,21.814116415722868,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.5, 'e': 0.07843059997219594}",25,14,24.840045360784046,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.5, 'e': 0.07686198797275202}",25,13,22.25561042155359,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.5, 'e': 0.07532474821329699}",20,11,18.39395312190451,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.07381825324903105}",30,0,-11.897759694546753,"{0: 26, 1: 3, 2: 0, 3: 0, 4: 1}",0
130,False,"{'a': 0.5, 'e': 0.07234188818405042}",25,12,23.705374260120955,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.07089505042036941}",20,0,34.65258743530764,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
132,False,"{'a': 0.5, 'e': 0.06947714941196202}",20,0,24.30072746183533,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
133,False,"{'a': 0.5, 'e': 0.06808760642372277}",20,11,15.562478363393591,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.06672585429524831}",30,11,29.807867472597444,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.5, 'e': 0.06539133720934334}",30,10,33.04722104206525,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.5, 'e': 0.06408351046515648}",30,16,27.908081129425884,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.06280184025585335}",25,20,11.128812412250777,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.061545803450736285}",20,9,18.34375625934109,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.5, 'e': 0.060314887381721555}",20,0,8.296160967286486,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
140,False,"{'a': 0.5, 'e': 0.05910858963408712}",20,7,24.51759648348506,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.05792641784140538}",20,16,7.769633331647022,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.05676788948457727}",25,12,18.679459050098878,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.5, 'e': 0.055632531694885724}",20,0,24.418092936563923,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
144,False,"{'a': 0.5, 'e': 0.054519881060988006}",20,11,16.280681466420415,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.5, 'e': 0.05342948343976824}",20,8,18.229637086158824,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.5, 'e': 0.052360893770972874}",20,12,12.910428354009955,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.5, 'e': 0.05131367589555342}",20,2,24.63263591973771,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.05028740237764235}",25,12,22.349735990912915,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.0492816543300895}",20,0,29.90471423649349,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
150,False,"{'a': 0.5, 'e': 0.04829602124348771}",35,21,17.443197983800424,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
151,False,"{'a': 0.5, 'e': 0.04733010081861796}",20,8,17.143671917435128,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.5, 'e': 0.0463834988022456}",20,16,8.914025514970218,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.5, 'e': 0.04545582882620069}",20,14,10.852723436524284,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.04454671224967667}",35,9,44.83573468797139,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.5, 'e': 0.043655778004683135}",25,15,15.378813772879292,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.04278266244458947}",20,3,25.63218563807036,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.04192700919569768}",25,14,22.23026845235652,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.5, 'e': 0.04108846901178373}",20,3,25.96057392969,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.5, 'e': 0.04026669963154805}",20,16,8.070870042390126,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.03946136563891709}",20,0,-12.244083799743425,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
161,False,"{'a': 0.5, 'e': 0.03867213832613875}",20,7,13.659548934509397,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
